scenario,authority_threads,in_flight,ops,elapsedMs,rate_s,successRate,result_p50_us,result_p95_us,result_p99_us,result_max_us
partitioned,8,1,100000,7278,13740,100.0,51,147,225,22709
random,8,1,100000,6588,15179,100.0,49,123,206,22506
sameSlot,8,1,100000,6429,15555,100.0,49,120,216,19213
partitioned,8,8,100000,1707,58582,100.0,113,239,355,4722
random,8,8,100000,1686,59312,95.1,113,234,343,6018
sameSlot,8,8,100000,1639,61013,24.4,109,226,330,4805
partitioned,8,32,100000,1504,66489,100.0,422,637,869,7714
random,8,32,100000,1512,66138,82.2,418,670,2218,3642
sameSlot,8,32,100000,1462,68399,11.1,408,638,2088,7409
partitioned,8,128,100000,1529,65402,100.0,1801,3332,4008,4908
random,8,128,100000,1522,65703,63.1,1758,2750,4735,7580
sameSlot,8,128,100000,1420,70423,4.2,1628,2362,5048,6117
partitioned,8,512,100000,1601,62461,100.0,7791,10519,12308,17089
random,8,512,100000,1463,68353,15.4,6999,9622,11769,14912
sameSlot,8,512,100000,1402,71327,0.3,6786,8957,10403,20499
partitioned,8,2048,100000,1617,61843,100.0,32667,36654,52896,57397
random,8,2048,100000,1395,71685,10.0,28387,31395,33328,34422
sameSlot,8,2048,100000,1402,71327,2.5,27710,33497,35812,36770
partitioned,8,4096,100000,1647,60716,100.0,66262,77119,82957,89800
random,8,4096,100000,1467,68166,1.8,59130,64618,68799,70211
sameSlot,8,4096,100000,1416,70621,0.5,58113,62808,65490,67367
